feature,importance
cp,0.22452690493335853
exng,0.15194529152906278
oldpeak,0.11360570899477282
age,0.0
sex,0.0
trtbps,0.0
chol,0.0
fbs,0.0
restecg,0.0
thalachh,0.0
caa,-0.016523411216695805
thall,-0.01706237424547281
slp,-0.023851602767288614
